price,rating,review_count,image_count,description_length,room_size,distance,wifi,ac,food,fake_listing
16417,2.41,188,3,249,474,8.25,0,1,0,0
23227,3.32,83,11,249,511,14.43,0,1,0,0
10989,3.49,224,4,201,514,4.31,1,0,0,0
12692,3.21,478,12,455,467,8.28,1,1,0,0
15990,4.04,167,6,160,224,4.72,0,1,1,0
9873,3.26,185,0,307,254,13.83,1,1,1,0
8675,4.88,374,13,358,599,14.85,0,0,1,0
3161,3.8,71,7,356,393,13.13,0,1,0,0
7297,4.42,73,9,341,208,5.41,0,0,1,0
3995,2.33,384,2,101,593,4.53,1,1,1,0
14534,3.19,340,13,461,89,6.75,0,1,1,0
10629,3.01,152,10,186,426,11.34,1,0,0,0
4016,3.71,95,5,430,196,0.64,1,1,0,0
11529,4.58,52,3,353,490,14.93,1,1,0,0
20262,2.24,444,13,73,476,13.31,0,0,1,0
12268,2.22,173,4,482,90,0.85,0,1,1,0
24271,4.55,109,9,475,477,6.04,0,0,0,0
15185,2.64,457,11,92,172,10.47,1,0,1,0
24243,4.01,315,14,232,181,4.0,0,1,1,0
9331,3.63,50,5,190,177,2.57,0,0,1,0
11571,4.5,376,1,455,361,9.63,1,0,1,0
10208,2.38,252,12,289,500,13.6,0,1,0,0
8276,2.39,495,14,238,443,14.36,0,1,1,0
21446,3.67,72,2,155,290,0.65,1,0,0,0
19448,4.84,211,14,54,587,13.18,0,0,0,0
19216,3.24,431,7,165,155,8.63,0,1,1,0
11006,2.98,211,7,202,402,3.95,0,1,0,0
5568,3.82,250,0,97,531,9.45,0,0,0,0
24847,4.79,167,9,327,97,14.94,0,1,1,0
5027,4.51,262,7,272,370,4.5,1,0,0,0
5695,4.99,330,10,347,277,4.51,0,1,1,0
18422,2.07,468,1,452,241,10.63,0,1,1,0
8258,2.34,229,9,411,496,1.13,0,1,1,0
9736,3.83,238,9,440,463,12.4,0,1,1,0
3391,4.46,274,12,255,279,9.96,0,1,1,0
16986,2.86,493,7,341,577,12.7,0,0,0,0
15666,2.72,142,11,356,122,3.85,1,0,0,0
8892,4.36,69,9,96,161,12.78,1,1,0,0
6561,2.17,444,4,393,383,7.0,1,0,0,0
9184,3.11,311,0,481,278,2.42,0,1,1,0
22483,3.52,393,7,444,485,13.57,0,0,0,0
11392,3.68,173,11,92,506,10.72,0,1,0,0
16067,4.19,335,4,46,540,2.94,1,0,1,0
18265,3.06,108,14,423,559,4.07,1,1,1,0
22488,3.84,202,0,57,203,4.4,1,0,0,0
5454,3.76,184,14,273,118,14.47,1,1,1,0
14837,3.64,290,3,415,278,13.35,1,0,1,0
17039,3.92,327,12,445,187,5.52,0,1,0,0
22115,2.78,91,0,105,347,7.27,1,1,0,0
13965,2.25,258,12,376,432,4.64,1,0,0,0
12762,2.36,321,8,453,390,11.27,1,0,1,0
8056,2.67,436,9,378,469,2.84,1,0,0,0
17948,3.5,205,1,50,119,5.41,1,1,0,0
11110,4.52,51,7,224,231,9.29,0,0,0,0
16773,4.1,348,3,212,266,13.22,0,0,0,0
23224,4.37,180,8,249,509,9.72,1,0,0,0
20412,3.05,437,1,200,536,14.13,0,0,0,0
3502,3.21,302,11,264,306,14.0,1,1,0,0
9910,3.18,2,2,59,507,10.92,0,0,0,0
15685,2.58,448,1,348,283,4.54,1,1,1,0
23872,2.18,398,9,442,197,10.4,1,1,1,0
3206,3.77,83,13,413,473,3.29,1,1,1,0
24518,4.97,213,4,176,301,5.33,0,0,1,0
20868,2.5,33,10,187,142,11.49,1,1,1,0
18934,2.14,49,0,177,475,12.83,0,1,0,0
20247,4.34,288,11,149,84,6.54,1,0,0,0
22174,2.76,328,2,101,413,8.09,1,1,0,0
11755,4.49,258,0,175,371,6.1,0,0,1,0
24500,4.11,257,9,194,587,7.45,1,0,1,0
15383,4.84,387,14,307,224,7.93,0,1,0,0
21141,3.23,271,13,107,238,10.53,1,0,1,0
17820,3.99,181,7,121,90,11.38,0,1,0,0
10574,3.39,32,14,267,148,14.64,0,1,0,0
9374,3.89,264,11,225,281,6.85,1,1,1,0
4678,3.35,312,3,108,345,1.71,1,0,0,0
22626,2.57,39,2,364,187,10.48,1,0,1,0
24020,3.52,485,7,307,133,7.72,1,0,0,0
4059,3.59,307,12,430,417,12.69,0,0,0,0
19198,4.43,209,8,329,269,2.62,0,1,1,0
12914,4.21,271,7,115,318,9.85,0,1,1,0
22541,3.99,135,5,459,422,7.16,0,1,1,0
13817,2.34,86,13,178,370,6.58,0,0,1,0
13921,4.16,59,14,133,402,8.69,1,1,0,0
12789,3.5,163,2,43,400,10.42,1,1,0,0
19312,4.68,2,7,182,121,12.84,0,1,0,0
14252,4.76,14,12,305,277,3.91,1,0,1,0
5693,2.17,101,4,372,363,4.75,0,0,0,0
16931,4.46,254,4,74,261,8.45,0,0,1,0
6627,2.11,224,11,83,90,5.53,1,0,0,0
19157,3.1,209,8,52,521,8.74,0,0,1,0
13173,3.63,22,0,65,503,3.4,1,0,0,0
24834,2.44,234,6,238,579,4.96,1,1,0,0
21047,4.24,130,7,308,467,5.21,0,1,0,0
13230,2.03,157,10,215,533,14.89,0,1,1,0
18707,2.51,172,9,272,81,12.89,0,1,1,0
24976,3.74,16,2,467,321,12.65,1,0,0,0
14494,4.14,369,7,305,139,7.95,0,1,0,0
4306,4.75,441,0,255,447,7.27,0,0,0,0
9776,4.12,313,7,98,119,1.52,1,0,1,0
12474,4.02,479,6,432,394,3.36,1,1,0,0
10526,3.18,365,3,465,377,13.48,1,0,0,0
24959,2.0,184,10,111,529,8.12,1,0,1,0
8530,2.36,390,6,115,474,14.82,1,1,0,0
23797,3.6,422,9,247,167,9.08,1,1,1,0
6748,4.03,333,13,305,467,5.97,0,1,1,0
16545,3.25,441,10,381,460,4.47,1,1,0,0
3663,4.19,183,6,254,510,13.82,1,1,0,0
4998,3.57,142,12,121,295,5.88,0,1,1,0
10994,2.22,43,9,271,356,2.62,1,1,0,0
20879,2.58,11,12,159,273,4.53,0,0,1,0
6304,4.52,7,11,342,258,9.86,0,0,1,0
23147,4.17,79,0,162,222,2.43,0,1,0,0
24616,4.68,296,2,259,297,1.83,0,0,0,0
21237,2.35,161,6,285,590,7.14,1,0,0,0
16808,4.97,301,10,361,138,1.71,1,0,1,0
9585,2.63,215,12,80,425,6.2,1,1,0,0
20675,2.04,247,4,42,498,5.18,1,0,1,0
22965,4.99,28,8,30,303,6.18,1,0,1,0
14649,2.84,271,6,35,429,7.57,0,1,1,0
4636,4.0,132,2,68,156,3.19,1,0,1,0
23080,2.53,4,14,385,287,6.92,1,1,0,0
20082,3.74,243,0,355,238,5.74,1,0,1,0
7737,4.71,29,4,417,304,12.03,1,0,1,0
17555,2.96,116,13,409,437,10.57,0,0,1,0
16877,4.01,177,14,189,463,13.15,0,0,0,0
3854,2.56,497,12,420,583,10.2,0,0,1,0
8855,3.87,260,9,138,529,2.26,0,1,0,0
10392,3.01,234,12,498,321,7.85,0,0,0,0
16949,2.63,140,4,61,448,11.27,0,1,1,0
24633,2.94,482,6,29,550,12.7,0,1,1,0
24556,2.54,304,13,449,367,3.13,1,1,0,0
21091,4.71,344,0,487,478,3.74,1,1,1,0
8791,3.19,49,9,68,183,13.0,1,0,1,0
24919,2.74,269,1,284,390,7.54,0,1,0,0
7931,3.35,107,10,226,206,7.06,1,1,0,0
22894,2.96,45,5,186,119,7.66,1,0,0,0
3202,4.23,473,7,21,151,3.01,0,0,0,0
14447,4.91,81,3,87,326,9.6,1,1,1,0
23602,3.31,125,2,327,326,12.22,1,1,0,0
15688,4.58,83,2,491,391,12.64,0,0,0,0
7389,3.7,289,2,229,113,0.94,0,1,1,0
5327,2.47,70,1,158,208,10.87,0,1,0,0
11004,4.07,174,0,56,89,1.82,1,1,1,0
22315,3.54,315,14,237,247,14.52,0,1,0,0
10777,3.95,329,4,475,295,7.49,1,0,0,0
3197,4.67,462,9,297,487,11.74,1,0,1,0
4930,3.32,336,4,199,97,9.52,1,0,1,0
14774,4.7,394,4,24,419,14.3,1,1,0,0
18087,4.25,353,3,149,169,14.62,1,0,0,0
12339,3.47,90,14,152,364,4.54,1,0,0,0
23666,3.81,468,2,118,346,7.5,0,1,0,0
14589,2.98,350,11,179,512,7.81,1,1,0,0
21895,4.95,433,2,255,131,3.08,1,1,1,0
18708,4.0,248,1,166,146,13.61,1,1,0,0
20043,2.13,131,4,378,329,5.57,0,0,1,0
5811,2.98,168,3,134,410,1.77,1,1,0,0
17243,3.87,442,5,23,494,2.74,0,1,1,0
9546,2.17,59,1,106,202,7.94,0,0,0,0
4986,2.07,368,1,65,281,13.28,0,0,1,0
11338,3.35,336,7,102,85,9.61,1,0,0,0
14411,3.0,240,5,173,565,3.62,1,0,0,0
5911,3.31,189,2,325,278,4.8,0,1,1,0
4734,2.79,495,4,301,92,14.65,0,0,1,0
21227,2.49,339,2,346,85,1.27,0,0,0,0
11680,4.07,280,10,307,490,14.92,0,0,1,0
22360,3.54,231,1,130,200,13.63,1,0,1,0
21343,2.6,470,2,136,441,10.34,0,0,0,0
8759,2.96,462,0,116,83,14.18,1,0,1,0
5385,3.78,288,13,447,363,2.71,0,1,1,0
14111,2.22,274,6,301,438,14.17,0,1,0,0
7736,2.44,312,5,208,361,3.58,1,0,1,0
4802,2.22,14,4,107,428,8.42,0,0,0,0
11155,4.44,40,5,326,109,7.59,0,0,0,0
11120,4.26,452,7,462,596,7.93,1,1,1,0
9616,4.26,207,2,106,453,4.38,1,0,1,0
17257,4.15,59,2,441,203,11.82,1,0,1,0
17486,4.01,364,11,45,525,11.27,0,0,1,0
24918,3.43,239,4,399,473,14.33,1,0,1,0
23445,3.93,95,4,448,135,7.85,1,0,0,0
19646,2.12,277,13,50,211,8.45,1,1,1,0
17075,3.86,426,10,145,201,13.6,0,0,1,0
12208,4.33,159,0,217,281,13.83,1,1,0,0
19371,3.5,396,3,320,344,9.92,0,0,1,0
14835,3.07,421,8,50,119,12.4,1,0,1,0
16168,2.83,281,7,386,192,7.82,0,1,0,0
5049,3.93,499,2,336,418,6.13,0,1,1,0
8423,4.08,208,4,451,141,13.03,1,0,0,0
17589,4.61,132,4,251,306,11.77,0,0,1,0
23932,3.03,380,6,64,253,4.01,1,1,1,0
22492,4.31,432,7,335,213,1.19,0,1,1,0
10158,3.68,96,8,208,364,8.7,0,1,0,0
13248,4.65,218,6,71,187,12.7,0,1,0,0
10400,3.58,388,14,71,222,4.08,0,0,0,0
22554,3.55,484,1,351,373,11.63,0,0,1,0
12874,3.73,70,7,484,356,6.5,0,1,0,0
18151,4.25,431,7,337,571,5.37,1,0,0,0
21639,4.89,273,10,429,550,3.01,1,1,1,0
4154,2.22,350,12,342,355,14.05,1,0,1,0
7499,2.16,133,13,98,313,3.77,0,1,0,0
9295,4.81,65,1,68,321,4.55,0,0,1,0
15183,3.59,126,12,249,337,5.31,1,1,1,0
15874,3.84,204,5,363,111,4.63,0,1,0,0
21032,3.45,297,12,390,446,2.86,1,1,1,0
8539,2.28,116,9,497,427,5.64,1,1,1,0
12637,4.3,435,0,63,211,7.34,1,0,1,0
23583,4.24,266,10,311,447,8.5,0,1,0,0
18586,2.94,281,6,456,344,2.77,1,0,1,0
5557,2.92,148,9,266,294,11.8,0,0,1,0
8592,4.51,193,1,447,294,5.02,1,1,0,0
19482,2.22,167,14,238,361,13.81,0,1,1,0
5200,4.64,311,4,41,81,5.28,0,0,1,0
17172,2.77,373,13,149,592,13.01,1,0,1,0
5961,3.78,178,6,26,543,5.61,0,0,0,0
17207,4.81,147,9,291,526,7.83,0,0,1,0
24357,4.03,464,10,491,442,5.9,1,1,0,0
23817,3.24,463,14,369,295,6.11,1,0,1,0
14969,4.07,56,14,63,243,9.47,1,1,1,0
5869,3.03,489,8,259,590,10.55,0,0,0,0
20340,2.83,4,13,385,300,13.12,1,0,0,0
16992,4.99,13,0,84,362,8.75,0,0,0,0
8699,4.25,279,8,265,150,3.64,1,1,0,0
23877,3.93,498,10,494,453,14.85,1,1,0,0
24295,3.07,323,4,92,338,10.41,1,0,1,0
6987,2.15,435,5,90,524,5.93,1,0,1,0
16446,2.09,303,13,216,280,14.54,0,0,1,0
4218,3.66,215,7,208,459,14.4,0,1,0,0
23880,4.29,174,14,177,494,1.65,0,0,0,0
7735,3.61,315,10,445,144,0.79,1,1,1,0
14296,4.52,456,13,494,457,1.14,0,1,0,0
7555,2.1,2,1,349,181,10.44,0,0,0,0
12146,3.1,374,11,44,121,10.81,0,0,0,0
11050,2.71,136,6,357,275,11.0,0,1,0,0
15757,3.34,465,11,90,439,9.64,0,1,0,0
22830,2.22,99,3,332,178,4.64,1,0,1,0
20429,4.86,82,8,242,467,2.92,0,1,1,0
9893,2.67,279,5,179,144,13.95,0,0,0,0
21077,4.77,131,6,325,376,13.74,1,0,0,0
17373,3.28,392,10,94,506,4.02,0,1,1,0
17565,4.96,480,5,157,302,2.94,1,0,1,0
6436,3.66,0,10,425,228,5.94,0,1,1,0
11754,4.79,115,7,498,588,1.2,0,1,0,0
13677,2.02,498,5,60,521,2.85,0,0,0,0
8895,4.24,418,6,322,493,6.01,1,0,1,0
22738,4.71,201,7,417,195,3.96,0,1,1,0
19609,2.42,139,14,406,532,11.18,1,1,0,0
18636,2.29,145,0,491,399,13.62,1,0,1,0
24277,3.27,461,14,353,530,13.68,0,1,1,0
10022,4.8,265,9,328,158,9.26,0,1,1,0
12151,3.63,201,11,35,436,10.7,0,0,0,0
8600,3.58,401,3,394,198,7.66,1,1,1,0
10996,2.42,151,5,208,358,2.63,0,0,1,0
12007,2.0,384,0,47,124,9.71,1,0,0,0
15946,4.43,221,3,182,304,5.57,1,1,0,0
7642,2.26,78,5,405,320,0.58,0,0,0,0
14312,3.9,199,6,336,561,8.84,1,0,0,0
10679,4.74,249,12,459,174,3.38,1,1,0,0
11208,2.63,98,5,74,444,13.35,0,0,1,0
21589,4.0,465,10,293,264,14.04,0,1,1,0
13716,2.24,488,3,474,215,2.85,1,1,0,0
20453,3.81,399,11,324,104,0.93,0,0,0,0
6444,2.49,212,12,121,397,0.56,1,1,1,0
13757,4.21,142,6,61,412,13.74,1,1,1,0
17434,2.9,189,9,282,179,2.7,1,1,0,0
4060,3.39,388,13,407,449,6.81,1,0,0,0
21711,3.8,300,1,190,91,1.33,1,0,1,0
6420,2.51,373,5,227,156,5.91,0,0,0,0
3301,4.22,51,4,334,427,11.89,0,1,0,0
15468,2.91,454,1,68,522,6.4,1,1,0,0
19990,3.99,111,8,79,167,11.75,0,1,0,0
22554,2.47,134,12,25,544,10.49,0,0,1,0
3699,4.06,410,6,167,573,8.0,0,0,1,0
24472,2.38,472,13,306,301,11.2,0,1,0,0
3190,3.28,469,2,230,594,13.25,1,1,0,0
13492,2.74,111,14,391,197,12.0,1,1,0,0
20364,4.25,12,6,169,215,10.53,0,0,1,0
5975,2.79,272,10,104,266,10.68,1,0,1,0
9102,4.65,232,10,485,390,2.84,1,0,0,0
20568,4.68,43,5,179,458,14.28,1,1,0,0
22711,2.59,396,6,66,491,3.48,1,0,0,0
22778,3.84,473,3,181,500,5.56,1,1,0,0
4816,2.26,72,12,174,296,8.01,0,0,1,0
3569,3.17,260,12,249,150,2.33,1,0,1,0
8442,4.14,230,9,319,189,9.11,1,0,0,0
4895,3.98,32,12,177,364,3.15,1,0,0,0
22117,3.87,387,7,180,377,13.89,0,1,1,0
6863,2.85,475,7,430,578,13.39,0,1,0,0
15913,3.13,409,6,266,277,8.39,1,1,0,0
10455,2.31,67,12,75,586,7.02,1,0,1,0
7014,4.16,15,6,170,568,1.99,0,1,1,0
14093,3.51,484,9,318,106,12.44,1,0,1,0
21070,4.13,149,12,486,197,6.0,0,1,1,0
6009,2.75,291,12,73,133,4.07,1,1,0,0
19538,2.97,101,7,242,583,14.93,1,0,1,0
13729,3.0,185,0,273,231,10.19,1,1,0,0
4409,2.08,438,5,87,558,1.57,1,0,1,0
15249,3.02,418,1,72,241,12.12,0,1,0,0
3784,4.41,24,0,486,295,11.38,1,0,0,0
11096,4.69,71,11,264,499,6.32,0,0,1,0
10560,3.55,80,9,59,427,2.29,0,1,1,0
15533,3.37,60,6,463,419,7.71,0,1,1,0
10343,2.09,17,5,361,431,11.57,0,0,1,0
10206,4.64,241,4,412,454,1.6,0,0,1,0
24980,2.04,57,14,370,382,2.87,1,0,0,0
8801,4.83,331,4,157,321,9.47,0,1,1,0
22190,3.47,376,8,285,457,8.61,0,1,1,0
19921,3.03,56,8,433,468,13.62,1,1,0,0
8986,4.77,96,11,157,366,12.31,0,0,1,0
21225,2.07,214,11,461,238,13.82,0,0,0,0
13647,3.74,318,5,311,433,7.26,1,0,0,0
11716,3.65,11,12,229,534,11.92,0,1,1,0
22334,2.66,10,14,191,320,1.21,0,1,0,0
15323,3.29,396,2,204,291,4.77,1,0,1,0
7780,3.96,162,6,318,442,9.84,0,0,1,0
5368,4.18,282,3,259,212,11.57,0,0,0,0
15039,2.0,216,4,230,588,8.77,1,1,1,0
9655,4.81,359,6,382,356,7.47,1,1,1,0
11173,2.49,322,14,170,344,3.88,0,1,1,0
7495,2.7,240,11,407,439,3.03,1,1,0,0
13893,2.79,344,6,415,215,13.19,0,1,1,0
16403,2.11,44,14,143,507,2.56,0,0,0,0
16121,2.37,457,9,68,108,6.81,1,0,1,0
13966,4.96,80,7,427,409,13.38,0,0,0,0
3853,2.95,254,0,416,113,2.64,1,1,1,0
23530,2.35,66,4,143,583,2.35,1,1,0,0
23153,2.32,492,14,87,183,10.54,1,1,0,0
19958,4.16,405,11,494,573,5.31,1,1,1,0
20532,4.56,101,8,377,450,6.82,1,0,0,0
12907,2.77,461,14,250,467,9.57,0,1,1,0
7777,2.06,90,6,475,316,6.0,0,0,1,0
23238,2.67,41,10,365,169,12.1,0,1,1,0
18338,2.17,275,11,437,412,14.55,1,0,1,0
5491,2.31,303,12,28,456,14.03,1,1,1,0
18328,3.29,273,1,285,319,8.41,1,0,1,0
17599,2.69,383,0,144,261,5.64,1,1,0,0
22508,3.55,76,7,390,336,6.79,1,0,1,0
6051,2.76,233,8,340,268,5.29,0,0,1,0
18979,4.82,453,9,131,494,6.91,1,0,1,0
19388,4.72,201,4,347,334,0.69,1,1,0,0
24606,3.7,484,13,349,124,1.3,1,0,1,0
24699,3.06,220,10,73,280,11.68,0,0,0,0
24253,3.14,261,5,446,438,5.35,0,0,1,0
3876,3.24,38,14,462,422,12.02,0,1,0,0
7142,4.18,10,1,108,291,7.46,1,1,1,0
18202,3.35,111,10,114,377,12.19,1,1,0,0
9966,4.57,408,4,378,234,10.12,1,1,0,0
10079,4.83,107,11,269,276,3.41,0,1,0,0
10987,3.01,491,3,462,561,6.99,1,1,0,0
9799,3.68,93,7,470,458,10.71,1,0,1,0
7465,2.29,310,7,336,446,5.29,0,1,0,0
20019,2.6,83,13,185,150,3.3,0,1,1,0
16417,3.24,57,4,246,107,8.33,0,1,1,0
21077,2.62,292,10,155,472,4.47,0,1,0,0
24136,4.63,15,7,403,428,9.12,0,1,1,0
11311,2.47,478,5,84,197,4.44,0,0,0,0
20214,3.37,476,9,24,459,13.65,0,1,0,0
17098,3.82,325,5,139,287,5.49,0,0,1,0
8177,4.08,92,12,390,502,13.66,1,1,1,0
17262,3.15,479,14,238,172,4.55,0,0,1,0
11308,4.61,456,12,384,220,9.26,1,1,0,0
8949,3.7,164,3,493,434,2.39,0,1,1,0
22222,3.32,436,9,62,148,11.79,1,1,0,0
4150,2.2,214,11,207,203,3.4,1,1,0,0
4931,3.39,143,10,45,498,13.03,1,0,0,0
12204,4.46,273,2,286,420,7.06,1,0,1,0
21048,3.84,402,8,181,384,1.87,0,0,1,0
4081,4.5,427,4,252,236,5.77,0,1,1,0
19896,3.48,385,9,149,167,11.81,1,1,1,0
16407,2.36,441,9,40,307,1.61,1,1,1,0
10805,2.04,137,3,390,444,9.57,0,0,0,0
8237,2.91,203,5,429,345,7.86,0,1,0,0
19943,4.09,301,13,147,163,4.99,0,0,1,0
23056,4.37,209,3,95,291,11.46,1,1,0,0
15775,2.89,18,14,92,297,1.26,1,1,0,0
19244,3.49,293,5,252,230,7.72,0,1,0,0
16184,3.26,292,9,362,219,7.85,0,0,1,0
6343,3.23,474,7,125,134,1.75,1,1,1,0
16500,2.69,367,7,408,220,2.47,0,0,0,0
23454,2.41,461,11,28,153,6.44,0,0,0,0
12662,2.59,300,5,138,214,8.28,0,1,0,0
19964,2.17,372,0,69,105,1.27,1,1,0,0
18125,2.59,161,12,29,567,0.67,1,0,1,0
11130,2.03,129,0,132,514,3.29,0,0,1,0
22531,3.88,43,13,461,141,7.57,1,1,0,0
23633,2.95,352,2,285,279,1.08,0,1,0,0
4679,4.92,82,1,97,569,11.13,1,0,1,0
6506,2.58,379,0,55,572,2.7,0,0,1,0
16284,3.04,123,0,221,547,11.7,1,0,1,0
10253,3.07,26,11,331,195,3.47,1,1,0,0
22128,2.03,303,11,137,450,5.53,1,1,0,0
12435,4.52,349,11,209,311,7.45,0,1,1,0
24572,2.1,6,5,261,527,5.54,0,1,1,0
14310,4.82,410,6,312,293,0.84,1,0,1,0
16296,4.68,340,14,188,287,13.67,0,0,0,0
21525,3.61,198,7,249,181,4.65,0,1,0,0
16245,3.63,111,2,67,89,2.47,1,0,1,0
14151,3.96,88,0,169,552,2.42,0,0,1,0
13457,3.16,127,4,362,202,14.63,1,0,0,0
5479,3.94,229,7,227,83,2.28,0,0,0,0
7452,2.13,17,11,80,546,5.52,1,1,0,0
8881,2.16,288,10,350,338,1.48,1,1,0,0
17069,3.37,160,13,136,366,11.16,1,1,0,0
5849,3.65,351,10,258,110,9.15,0,0,1,0
10390,4.66,377,3,390,203,8.24,1,0,0,0
14922,2.31,280,1,374,209,12.91,1,0,1,0
5489,4.47,397,8,67,595,8.81,1,1,0,0
12823,2.63,421,11,467,559,14.36,1,0,1,0
12207,3.18,165,12,264,156,9.53,0,0,1,0
12540,2.95,259,8,487,262,5.64,0,0,1,0
19364,3.2,363,2,312,445,1.03,1,0,0,0
7611,2.45,189,6,444,371,11.02,0,0,1,0
22223,3.51,337,12,24,468,5.92,0,0,1,0
8878,4.4,265,0,119,236,9.19,0,1,1,0
19347,3.32,290,7,224,179,13.21,0,1,0,0
3851,3.47,354,7,199,189,0.61,1,0,0,0
21071,4.55,359,12,36,349,11.51,1,0,0,0
9833,4.12,278,2,109,217,6.81,0,0,1,0
14938,3.47,216,11,127,143,2.3,1,0,1,0
5427,2.77,320,14,209,586,8.95,1,0,1,0
7000,4.65,337,4,199,429,8.22,0,1,1,0
8052,3.73,206,3,268,226,12.71,0,0,0,0
5738,2.66,152,6,270,414,8.06,1,0,1,0
8387,2.81,479,10,39,486,12.5,0,0,1,0
11002,4.41,180,6,378,423,8.4,1,1,1,0
8536,2.13,211,10,116,215,6.98,1,0,1,0
16479,4.98,272,7,241,118,5.88,0,0,0,0
6913,2.39,440,4,163,399,3.02,0,0,0,0
20450,4.39,202,12,26,366,8.97,0,0,0,0
23764,3.18,204,10,369,542,8.39,0,0,0,0
13636,3.48,472,4,341,431,14.65,1,0,1,0
23491,4.64,403,7,287,84,6.48,0,0,0,0
8726,3.24,383,4,446,315,6.61,1,1,0,0
6373,3.61,152,12,315,315,2.88,0,1,0,0
15161,2.15,169,13,20,580,9.16,0,1,0,0
5082,2.01,428,12,77,184,12.79,0,1,1,0
19281,2.73,240,0,406,286,4.09,0,1,1,0
18305,4.04,286,10,283,318,0.63,0,0,1,0
12817,2.36,244,2,109,131,10.53,0,0,1,0
14261,2.34,320,1,94,187,0.95,1,0,0,0
3417,3.23,435,11,464,436,6.43,1,0,0,0
11808,3.94,79,9,360,112,9.38,0,1,1,0
23358,4.14,495,4,280,101,6.1,0,1,0,0
6267,2.54,91,12,301,386,4.28,0,1,1,0
20209,2.24,148,7,360,90,12.09,0,0,0,0
8745,4.82,29,14,348,521,4.86,1,1,1,0
14338,2.78,122,8,420,277,3.11,1,0,1,0
3412,4.56,386,8,376,123,6.13,1,1,1,0
10543,4.59,481,0,262,264,2.41,1,1,0,0
10587,4.32,325,0,341,468,10.51,1,0,1,0
3728,2.51,426,0,454,586,10.8,0,0,1,0
14657,4.47,28,0,138,521,0.71,0,0,1,0
8988,4.31,258,8,66,575,10.58,1,0,1,0
21888,3.79,185,0,187,584,4.84,1,0,0,0
5967,3.01,416,6,367,216,10.01,0,1,0,0
